Title,Year,Director,Director_Gender,Actor,Actor_Gender,Synopsis
The Purge: Election Year,2016,James DeMonaco,M,Frank Grillo,M,"Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night."
Cam,2018,Daniel Goldhaber,M,Madeline Brewer,F,A young camgirl discovers that she’s inexplicably been replaced on her site with an exact replica of herself.
Triangle,2009,Christopher Smith,M,Melissa George,F,"When Jess sets sail on a yacht with a group of friends, she cannot shake the feeling that there is something wrong. Her suspicions are realised when the yacht hits a storm and the group is forced to board a passing ocean liner to get to safety, a ship Jess is convinced she’s been on before."
Dressed to Kill,1980,Brian De Palma,M,Nancy Allen,F,"A mysterious, tall, blonde woman wearing sunglasses murders one of a psychiatrist's patients, and now she's after the prostitute who witnessed it."
The Last Voyage of the Demeter,2023,André Øvredal,M,Corey Hawkins,M,The crew of the merchant ship Demeter attempts to survive the ocean voyage from Carpathia to London as they are stalked each night by a merciless presence onboard the ship.
Overlord,2018,Julius Avery,M,Jovan Adepo,M,"France, June 1944. On the eve of D-Day, some American paratroopers fall behind enemy lines after their aircraft crashes while on a mission to destroy a radio tower in a small village near the beaches of Normandy. After reaching their target, the surviving paratroopers realise that, in addition to fighting the Nazi troops that patrol the village, they also must fight against something else."
Nosferatu,2024,Robert Eggers,M,Bill Skarsgård,M,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake."
Friday the 13th,2009,Marcus Nispel,M,Jared Padalecki,M,A group of young adults visit a boarded up campsite named Crystal Lake where they soon encounter the mysterious Jason Voorhees and his deadly intentions.
Peeping Tom,1960,Michael Powell,M,Karlheinz Böhm,M,"Loner Mark Lewis works at a film studio during the day and, at night, takes racy photographs of women. Also he's making a documentary on fear, which involves recording the reactions of victims as he murders them. He befriends Helen, the daughter of the family living in the apartment below his, and he tells her vaguely about the movie he is making."
Gremlins 2: The New Batch,1990,Joe Dante,M,Zach Galligan,M,"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!"
Halloween,2007,Rob Zombie,M,Scout Taylor-Compton,M,"The early years of young Michael Myers and the events leading up to his fateful Halloween night murder rampage in the quiet town of Haddonfield, Illinois."
Planet Terror,2007,Robert Rodriguez,M,Rose McGowan,F,"Two doctors find their graveyard shift inundated with townspeople ravaged by sores. Among the wounded is Cherry, a dancer whose leg was ripped from her body. As the invalids quickly become enraged aggressors, Cherry and her ex-boyfriend Wray lead a team of accidental warriors into the night."
The Boy,2016,William Brent Bell,M,Lauren Cohan,F,"An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive."
Freaks,1932,Tod Browning,M,Harry Earles,M,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
Circle,2015,Aaron Hann,M,Carter Jenkins,M,"In a massive, mysterious chamber, fifty strangers awaken to find themselves trapped with no memory of how they got there. Organized in an inward-facing circle and unable to move, they quickly learn that every two minutes, one of them must die... executed by a strange device in the center of the room."
The Orphanage,2007,J. A. Bayona,M,Belén Rueda,F,"A woman brings her family back to her childhood home, which used to be an orphanage, intent on reopening it. Before long, her son starts to communicate with a new invisible friend."
Prince of Darkness,1987,John Carpenter,M,Donald Pleasence,M,"A research team finds a mysterious cylinder in a deserted church. If opened, it could mean the end of the world."
Mama,2013,Andy Muschietti,M,Jessica Chastain,F,"Guillermo del Toro presents Mama, a supernatural thriller that tells the haunting tale of two little girls who disappeared into the woods the day that their parents were killed. When they are rescued years later and begin a new life, they find that someone or something still wants to come tuck them in at night."
Revenge,2017,Coralie Fargeat,F,Matilda Anna Ingrid Lutz,F,Jen's romantic getaway with her wealthy (married) boyfriend is disrupted when his friends arrive for an impromptu hunting trip. Tension mounts at the house until the situation culminates in an unexpected way.
Final Destination 5,2011,Steven Quale,M,Nicholas D'Agosto,M,"In this fifth installment, Death is just as omnipresent as ever, and is unleashed after one man’s premonition saves a group of coworkers from a terrifying suspension bridge collapse. But this group of unsuspecting souls was never supposed to survive, and, in a terrifying race against time, the ill-fated group frantically tries to discover a way to escape Death’s sinister agenda."
The Faculty,1998,Robert Rodriguez,M,Josh Hartnett,M,"When some very creepy things start happening around school, the kids at Herrington High make a chilling discovery that confirms their worst suspicions: their teachers really are from another planet!"
May,2002,Lucky McKee,M,Angela Bettis,F,"Psychological horror about a lonely young woman traumatized by a difficult childhood, and her increasingly desperate attempts to connect with the people around her."
AVP: Alien vs. Predator,2004,Paul W. S. Anderson,M,Sanaa Lathan,F,"When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race."
The Cloverfield Paradox,2018,Julius Onah,M,Gugu Mbatha-Raw,F,"Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality."
The Final Destination,2009,David R. Ellis,M,Bobby Campo,M,"After a young man's premonition of a deadly race-car crash helps saves the lives of his peers, Death sets out to collect those who evaded their end."
The Mummy,2017,Alex Kurtzman,M,Tom Cruise,M,"Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient queen whose destiny was unjustly taken from her is awakened in our current day, bringing with her malevolence grown over millennia, and terrors that defy human comprehension."
King Kong,1933,Merian C. Cooper,M,Robert Armstrong,M,"A film crew discovers the ""eighth wonder of the world,"" a giant prehistoric ape, and brings him back to New York, where he wreaks havoc."
Carnival of Souls,1962,Herk Harvey,M,Candace Hilligoss,F,"Mary Henry ends up the sole survivor of a fatal car accident through mysterious circumstances. Trying to put the incident behind her, she moves to Utah and takes a job as a church organist. But her fresh start is interrupted by visions of a fiendish man. As the visions begin to occur more frequently, Mary finds herself drawn to the deserted carnival on the outskirts of town. The strangely alluring carnival may hold the secret to her tragic past."
Fright Night,1985,Tom Holland,M,Chris Sarandon,M,"Nobody believes teenager Charley Brewster when he discovers that his suave new neighbor, Jerry Dandrige, is a vampire. So when the bloodsucker starts stalking Charley, he turns to has-been actor Peter Vincent, famed for portraying a ghoul hunter. Unfortunately for the would-be vampire slayers, Dandrige has set his sights on Charley's girlfriend."
The Strangers: Chapter 1,2024,Renny Harlin,M,Madelaine Petsch,F,"After their car breaks down in an eerie small town, a young couple are forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motives."
Bride of Chucky,1998,Ronny Yu,M,Jennifer Tilly,F,"Chucky hooks up with another murderous doll, the bridal gown-clad Tiffany, for a Route 66 murder spree with their unwitting hosts."
The Perfection,2018,Richard Shepard,M,Allison Williams,F,"When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences."
The Human Centipede (First Sequence),2009,Tom Six,M,Dieter Laser,M,"During a stopover in Germany in the middle of a carefree road trip through Europe, two American girls find themselves alone at night when their car breaks down in the woods. Searching for help at a nearby villa, they are wooed into the clutches of a deranged retired surgeon who explains his mad scientific vision to his captives' utter horror. They are to be the subjects of his sick lifetime fantasy: to be the first to connect people, one to the next, and in doing so bring to life ""the human centipede."""
The Return of the Living Dead,1985,Dan O'Bannon,M,Clu Gulager,M,"When a bumbling pair of employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to re-animate as they go on a rampage seeking their favorite food: brains!"
Night Swim,2024,Bryce McGuire,M,Wyatt Russell,M,"Forced into early retirement by a degenerative illness, former baseball player Ray Waller moves into a new house with his wife and two children. He hopes that the backyard swimming pool will be fun for the kids and provide physical therapy for himself. However, a dark secret from the home's past soon unleashes a malevolent force that drags the family into the depths of inescapable terror."
The House of the Devil,2009,Ti West,M,Jocelin Donahue,F,"In the 1980s, college student Samantha Hughes takes a strange babysitting job that coincides with a full lunar eclipse. She slowly realizes her clients harbor a terrifying secret."
Near Dark,1987,Kathryn Bigelow,F,Adrian Pasdar,M,A mid-western farm boy reluctantly becomes a member of the undead when a girl he meets turns out to be part of a band of southern vampires who roam the highways in stolen cars.
I See You,2019,Adam Randall,M,Helen Hunt,F,"When a 12-year-old boy goes missing, lead investigator Greg Harper struggles to balance the pressure of the investigation and troubles with his wife, Jackie. Facing a recent affair, great strain is put on the family that slowly gnaws away at Jackie's grip on reality. But after a malicious presence manifests itself in their home and puts their son, Connor, in mortal danger, the cold, hard truth about evil in the Harper household is finally uncovered."
The Woman in Black,2012,James Watkins,M,Daniel Radcliffe,M,"The story follows a young lawyer, Arthur Kipps, who is ordered to travel to a remote village and sort out a recently deceased client’s papers. As he works alone in the client’s isolated house, Kipps begins to uncover tragic secrets, his unease growing when he glimpses a mysterious woman dressed only in black. Receiving only silence from the locals, Kipps is forced to uncover the true identity of the Woman in Black on his own, leading to a desperate race against time when he discovers her true identity."
The Brood,1979,David Cronenberg,M,Oliver Reed,M,"A man tries to uncover an unconventional psychologist's therapy techniques on his institutionalized wife, while a series of brutal attacks committed by a brood of mutant children coincides with the husband's investigation."
V/H/S,2012,Joe Swanberg,M,Calvin Lee Reeder,M,"When a group of misfits is hired by an unknown third party to burglarize a desolate house and acquire a rare VHS tape, they discover more found footage than they bargained for."
Escape Room: Tournament of Champions,2021,Adam Robitel,M,Taylor Russell,F,"Six people unwittingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive as they discover all the games that they've played before."
The Devil's Backbone,2001,Guillermo del Toro,M,Marisa Paredes,F,"Spain, 1939. In the last days of the Spanish Civil War, the young Carlos arrives at the Santa Lucía orphanage, where he will make friends and enemies as he follows the quiet footsteps of a mysterious presence eager for revenge."
#Alive,2020,Cho Il,M,Yoo Ah-in,M,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out."
Friday the 13th: The Final Chapter,1984,Joseph Zito,M,Judie Aronson,F,"After the Crystal Lake Massacres, Jason is pronounced dead and taken to the hospital morgue, where he is mysteriously revived, allowing his diabolical killing spree to continue at the camp where the gruesome slaughtering began. But this time, in addition to terrified teenagers, he meets a young boy named Tommy who has a special talent for horror masks and make up, leading up to a horrifying, bloody battle! Has Jason finally met his match?"
Insidious: Chapter 3,2015,Leigh Whannell,M,Stefanie Scott,F,"A twisted new tale of terror begins for a teenage girl and her family, and revealing more mysteries of the otherworldly realm, 'The Further'."
The Taking of Deborah Logan,2014,Adam Robitel,M,Jill Larson,F,"What starts as a poignant medical documentary about Deborah Logan's descent into Alzheimer's disease and her daughter's struggles as caregiver degenerates into a maddening portrayal of dementia at its most frightening, as hair-raising events begin to plague the family and crew and an unspeakable malevolence threatens to tear the very fabric of sanity from them all."
The Wolf House,2018,Cristóbal León,M,Amalia Kassai,F,"María, a girl from Colonia Dignidad, in Chile —a kind of sectarian community, tyrannically mastered by the ruthless Paul Schäfer, a German madman, religious fanatic and child predator, who would end up turning the place into a torture center at the service of the military dictatorship ruled by Augusto Pinochet—, is punished for having lost three pigs, so she decides to run away and take refuge in an abandoned house hidden in the forest."
